Phone_number,International_calls,Voice_mail,Number_of_voicemails,Daytime_minutes_used,Number_of_calls_during_the_day,Monthly fee,Used_evening_minutes,Number_of_calls_in_the_evening,Subscription_fee_in_the_evening,Using_night_minutes,Number_of_night_calls,Nightly_subscription_fee,Minutes_of_long_distance_calls,Number_of_international_calls,Subscription_fee_for_international_calls,The_number_of_calls_to_the_service_department
382-4657,нет,да,25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10.0,3,2.7,1
371-7191,нет,да,26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1
358-1921,нет,нет,0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0
375-9999,да,нет,0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2
330-6626,да,нет,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3
391-8027,да,нет,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0
355-9993,нет,да,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3
329-9001,да,нет,0,157.0,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0
335-4719,нет,нет,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1
330-8173,да,да,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,11.2,5,3.02,0
329-6603,нет,нет,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4
344-9403,нет,нет,0,187.7,127,31.91,163.4,148,13.89,196.0,94,8.82,9.1,5,2.46,0
363-1107,нет,нет,0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1
394-8006,нет,нет,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3
366-9238,нет,нет,0,120.7,70,20.52,307.2,76,26.11,203.0,99,9.14,13.1,6,3.54,4
351-7269,нет,нет,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4
350-8884,нет,да,27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1
386-2923,нет,нет,0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3
356-2992,нет,да,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1
373-2782,нет,нет,0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13.0,2,3.51,1
396-5800,нет,нет,0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0
393-7984,нет,нет,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5
358-1958,нет,нет,0,183.0,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0
350-2565,нет,нет,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2
343-4696,нет,нет,0,81.1,86,13.79,245.2,72,20.84,237.0,115,10.67,10.3,2,2.78,0
331-3698,нет,нет,0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3
357-3817,нет,да,39,213.0,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0
418-6412,нет,нет,0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3
353-2630,нет,нет,0,190.0,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0
410-7789,нет,нет,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1
416-8428,нет,нет,0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2
370-3359,нет,нет,0,226.1,105,38.44,201.5,107,17.13,246.2,98,11.08,10.3,5,2.78,1
383-1121,нет,нет,0,212.0,121,36.04,31.2,115,2.65,293.3,78,13.2,12.6,10,3.4,3
360-1596,нет,нет,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1
395-2854,нет,да,25,176.8,94,30.06,195.0,75,16.58,213.5,116,9.61,8.3,4,2.24,0
362-1407,нет,да,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3
341-9764,нет,да,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0
353-3305,нет,нет,0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10.0,5,2.7,1
402-1381,да,да,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,10.5,6,2.84,3
332-9891,нет,нет,0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3.0,1
372-9976,нет,нет,0,126.3,102,21.47,166.8,85,14.18,187.8,135,8.45,9.4,2,2.54,3
383-6029,да,да,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0
353-7289,нет,нет,0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10.0,4,2.7,2
390-7274,нет,нет,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3
352-1237,нет,нет,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1
353-3061,нет,да,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2
363-5450,нет,нет,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3
364-1995,нет,нет,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2
398-1294,нет,нет,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5
405-7146,нет,да,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1
413-4957,нет,нет,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3
420-5645,нет,нет,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1
349-4396,нет,нет,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2
404-3211,нет,нет,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2
353-3759,нет,нет,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5
363-5947,нет,нет,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1
340-5121,нет,нет,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1
370-7574,нет,да,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3
403-9733,нет,нет,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3
355-7251,нет,нет,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1
359-5893,нет,нет,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1
405-3371,нет,да,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2
344-5117,нет,да,33,193.7,91,32.93,246.1,96,20.92,138.0,92,6.21,14.6,3,3.94,2
332-8160,нет,да,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3
359-4081,нет,нет,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2
352-8305,нет,да,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2
329-9847,да,нет,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0
365-9011,да,нет,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0
338-9472,нет,нет,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1
374-8042,нет,нет,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4
359-1231,нет,нет,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3
413-7170,нет,да,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0
415-2935,нет,нет,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3
399-4246,нет,нет,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1
362-5889,нет,нет,0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12.0,3,3.24,0
350-8921,нет,нет,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1
374-5353,нет,нет,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0
360-1171,нет,нет,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4
355-8887,нет,нет,0,214.1,72,36.4,164.4,104,13.97,177.5,113,7.99,8.2,3,2.21,2
333-1967,нет,нет,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1
354-4577,нет,нет,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1
331-7425,да,нет,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3
419-2637,нет,да,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3
411-1530,нет,да,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1
395-3026,нет,нет,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2
388-6441,нет,да,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0
402-1251,нет,нет,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4
412-9997,нет,нет,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1
346-7302,нет,да,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2
358-9095,нет,нет,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1
400-9770,нет,нет,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1
334-1275,нет,нет,0,203.4,100,34.58,190.9,104,16.23,196.0,119,8.82,8.9,4,2.4,0
340-4953,нет,нет,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1
400-9510,нет,нет,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3
387-6103,нет,нет,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3
366-4467,нет,нет,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1
370-3450,нет,нет,0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13.0,4,3.51,0
327-3954,нет,нет,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4
355-6291,нет,нет,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1
362-9748,нет,нет,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2
379-6506,нет,да,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4
347-7741,нет,нет,0,178.3,137,30.31,189.0,76,16.07,129.1,102,5.81,14.6,5,3.94,0
354-3783,нет,нет,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0
401-7594,нет,нет,0,135.0,99,22.95,183.6,106,15.61,245.3,102,11.04,12.5,9,3.38,1
397-4976,нет,нет,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1
334-2577,нет,нет,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4
400-3637,нет,да,29,281.4,102,47.84,202.2,76,17.19,187.2,113,8.42,9.0,6,2.43,2
383-4361,нет,да,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1
371-4306,нет,да,32,148.6,91,25.26,131.1,97,11.14,219.4,142,9.87,10.1,1,2.73,1
403-4298,нет,нет,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3
409-3786,нет,нет,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1
337-4697,нет,нет,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2
383-1509,нет,нет,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4
359-9794,нет,нет,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1
407-7035,нет,нет,0,58.9,125,10.01,169.6,59,14.42,211.4,88,9.51,9.4,3,2.54,1
363-1069,да,да,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0
391-4652,нет,нет,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1
355-6837,нет,нет,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1
409-1244,нет,да,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2
328-3266,нет,нет,0,239.8,125,40.77,214.8,111,18.26,143.3,81,6.45,8.7,5,2.35,2
352-7072,нет,нет,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1
370-7550,нет,да,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0
369-5526,нет,нет,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3
329-4391,нет,нет,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1
408-4195,нет,нет,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2
354-4445,нет,нет,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1
